,Unnamed: 0,Address,City,State,Lat,Lon,Full Address
188,188,39462 Trade Center Dr,Palmdale,CA,34.60103649,-118.1432239,39462 Trade Center Dr Palmdale CA
189,189,311 S. Rosemead Blvd.,Pasadena,CA,34.14107521,-118.0736881,311 S. Rosemead Blvd. Pasadena CA
190,190,899 N Lake Ave,Pasadena,CA,34.16143941,-118.1328464,899 N Lake Ave Pasadena CA
191,191,1860 North Perris Boulevard,Perris,CA,33.80694769,-117.2265984,1860 North Perris Boulevard Perris CA
192,192,498 E 4th St,Perris,CA,33.78258627,-117.2193334,498 E 4th St Perris CA
193,193,9211 Telegraph Road,Pico Rivera,CA,33.95853384,-118.1059396,9211 Telegraph Road Pico Rivera CA
194,194,1283 E Leland Rd,Pittsburg,CA,38.00819014,-121.8696229,1283 E Leland Rd Pittsburg CA
195,195,1911 Indian Hill Blvd,Pomona,CA,34.07835399,-117.7196862,1911 Indian Hill Blvd Pomona CA
196,196,1801 Main St.,Ramona,CA,33.035148,-116.881349,1801 Main St. Ramona CA
197,197,2817 Zinfandel Drive,Rancho Cordova,CA,38.59513443,-121.2878161,2817 Zinfandel Drive Rancho Cordova CA
198,198,"11815 Foothill Blvd., Ste A",Rancho Cucamonga,CA,34.10602368,-117.5474945,"11815 Foothill Blvd., Ste A Rancho Cucamonga CA"
199,199,19483 Knighton Rd,Redding,CA,40.50436765,-122.3345888,19483 Knighton Rd Redding CA
200,200,847 E Cypress Ave,Redding,CA,40.57076217,-122.3558271,847 E Cypress Ave Redding CA
201,201,86 Lake Blvd,Redding,CA,40.60928576,-122.3782169,86 Lake Blvd Redding CA
202,202,1775 San Pablo Ave,Berkeley,CA,37.87189713,-122.2927346,1775 San Pablo Ave Berkeley CA
203,203,740 Woodside Rd,Redwood City,CA,37.4673354,-122.2243178,740 Woodside Rd Redwood City CA
204,204,18300 Vanowen St,Reseda,CA,34.1937179,-118.5319147,18300 Vanowen St Reseda CA
205,205,1320 W Baseline Rd,Rialto,CA,34.12174894,-117.3976307,1320 W Baseline Rd Rialto CA
206,206,5445 Arlington Ave,Riverside,CA,33.94634563,-117.4220089,5445 Arlington Ave Riverside CA
207,207,9825 Magnolia Ave,Riverside,CA,33.91711754,-117.4532034,9825 Magnolia Ave Riverside CA
208,208,3 Padre Pkwy,Rohnert Park,CA,38.34952778,-122.709084,3 Padre Pkwy Rohnert Park CA
209,209,1100 Douglas Blvd,Roseville,CA,38.74380748,-121.2752252,1100 Douglas Blvd Roseville CA
210,210,1500 West El Camino,Sacramento,CA,38.61247314,-121.4946535,1500 West El Camino Sacramento CA
211,211,3501 El Camino Avenue,Sacramento,CA,38.6108039,-121.3825462,3501 El Camino Avenue Sacramento CA
212,212,4554 Mack Road,Sacramento,CA,38.47376013,-121.4488419,4554 Mack Road Sacramento CA
213,213,5064 Stockton Blvd.,Sacramento,CA,38.52930957,-121.4451704,5064 Stockton Blvd. Sacramento CA
214,214,5301 Auburn Blvd,Sacramento,CA,38.66623267,-121.3410088,5301 Auburn Blvd Sacramento CA
215,215,7229 Stockton Blvd,Sacramento,CA,38.49483858,-121.4279341,7229 Stockton Blvd Sacramento CA
216,216,7501 W Stockton Blvd,Sacramento,CA,38.4555793,-121.4158688,7501 W Stockton Blvd Sacramento CA
217,217,901 El Camino Ave,Sacramento,CA,38.6113785,-121.4459518,901 El Camino Ave Sacramento CA
218,218,1064 West Highland Avenue,San Bernardino,CA,34.13648043,-117.3072059,1064 West Highland Avenue San Bernardino CA
219,219,198 E Redlands Blvd,San Bernardino,CA,34.06340314,-117.2822769,198 E Redlands Blvd San Bernardino CA
220,220,1310 El Camino Real,San Bruno,CA,37.6403914,-122.4226795,1310 El Camino Real San Bruno CA
221,221,1525 Palm Ave,San Diego,CA,32.58344617,-117.1007329,1525 Palm Ave San Diego CA
222,222,1561 Euclid Ave,San Diego,CA,32.72116548,-117.08456,1561 Euclid Ave San Diego CA
223,223,2810 El Cajon Blvd,San Diego,CA,32.75580823,-117.1334671,2810 El Cajon Blvd San Diego CA
224,224,2850 National Ave,San Diego,CA,32.6963001,-117.1328634,2850 National Ave San Diego CA
225,225,"3295 Palm Ave.,",San Diego,CA,32.5833935,-117.0626064,"3295 Palm Ave., San Diego CA"
226,226,3489 Santo Rd,San Diego,CA,32.80933132,-117.1048579,3489 Santo Rd San Diego CA
227,227,4020 Convoy St,San Diego,CA,32.81616129,-117.155102,4020 Convoy St San Diego CA
228,228,4310 Camino De La Plaza H-1,San Diego,CA,32.5456765,-117.0399592,4310 Camino De La Plaza H-1 San Diego CA
229,229,6095 El Cajon Blvd,San Diego,CA,32.7614907,-117.0661389,6095 El Cajon Blvd San Diego CA
230,230,9045 Mira Mesa Blvd,San Diego,CA,32.91577941,-117.1298209,9045 Mira Mesa Blvd San Diego CA
231,231,700 W Rice St,Blythe,CA,33.60798801,-114.6046766,700 W Rice St Blythe CA
232,232,14723 Rinaldi St,San Fernando,CA,34.28092435,-118.4536186,14723 Rinaldi St San Fernando CA
233,233,1426 Fillmore St,San Francisco,CA,37.78303952,-122.4323988,1426 Fillmore St San Francisco CA
234,234,599 Divisadero St,San Francisco,CA,37.7748622,-122.4380583,599 Divisadero St San Francisco CA
235,235,890 Geneva Ave,San Francisco,CA,37.7165674,-122.4413323,890 Geneva Ave San Francisco CA
236,236,725 E Valley Blvd,San Gabriel,CA,34.08034816,-118.0915371,725 E Valley Blvd San Gabriel CA
237,237,1551 Saratoga Ave,San Jose,CA,37.29444233,-121.9898009,1551 Saratoga Ave San Jose CA
238,238,1570 W San Carlos St.,San Jose,CA,37.32310781,-121.9198506,1570 W San Carlos St. San Jose CA
239,239,1578 Monterey Road,San Jose,CA,37.31361431,-121.8703467,1578 Monterey Road San Jose CA
240,240,1671 N Capitol Ave,San Jose,CA,37.39744474,-121.8736536,1671 N Capitol Ave San Jose CA
241,241,1783 E Capitol Expy,San Jose,CA,37.30968739,-121.8101707,1783 E Capitol Expy San Jose CA
242,242,311 N Capitol Ave,San Jose,CA,37.36945618,-121.8450071,311 N Capitol Ave San Jose CA
243,243,705 Capitol Expy,San Jose,CA,37.27519782,-121.8646009,705 Capitol Expy San Jose CA
244,244,7270 Bollinger Road,San Jose,CA,37.31183558,-122.0319191,7270 Bollinger Road San Jose CA
245,245,13808 E 14th St,San Leandro,CA,37.71497499,-122.1414909,13808 E 14th St San Leandro CA
